country,hour,avg
Canada,,93.81
Canada,0,140.11
Canada,1,172.93
Canada,2,223.17
Canada,3,153.6
Canada,4,155.89
Canada,5,162.18
Canada,6,721.67
Canada,7,369.19
Canada,8,614.25
Canada,9,123.64
Canada,10,1927.37
Canada,11,197.35
Canada,12,128.68
Canada,13,119.93
Canada,14,153.07
Canada,15,71.02
Canada,16,275.16
Canada,17,142.68
Canada,18,122.58
Canada,19,129.85
Canada,20,131.32
Canada,21,134.75
Canada,22,77.42
Canada,23,213.76
Mexico,,791.55
Mexico,0,648.47
Mexico,1,476.89
Mexico,2,365.67
Mexico,3,536.74
Mexico,4,1425.3
Mexico,5,542.86
Mexico,6,364.8
Mexico,7,1757.89
Mexico,8,566.87
Mexico,9,476.34
Mexico,10,394.27
Mexico,11,405.96
Mexico,12,415.04
Mexico,13,928.88
Mexico,14,618.35
Mexico,15,346.01
Mexico,16,305.29
Mexico,17,282.55
Mexico,18,860.82
Mexico,19,473.91
Mexico,20,934.3
Mexico,21,272.71
Mexico,22,401.83
Mexico,23,374.51
