country,hour,avg
Cameroon,0,34.2
Cameroon,1,109.36
Cameroon,2,520.72
Cameroon,3,158.35
Cameroon,4,112.41
Cameroon,5,97.39
Cameroon,6,70.24
Cameroon,7,606.94
Cameroon,8,91.09
Cameroon,9,262.3
Cameroon,10,0.0
Cameroon,11,262.69
Cameroon,12,137.5
Cameroon,13,94.91
Cameroon,14,23.05
Cameroon,15,67.66
Cameroon,16,129.84
Cameroon,17,201.97
Cameroon,18,118.63
Cameroon,19,288.23
Cameroon,20,52.31
Cameroon,21,59.56
Cameroon,22,141.55
Cameroon,23,176.24
Egypt,,3848.74
Egypt,0,1721.14
Egypt,1,790.56
Egypt,2,129.77
Egypt,3,407.06
Egypt,4,373.78
Egypt,5,1037.55
Egypt,6,318.73
Egypt,7,201.84
Egypt,8,488.82
Egypt,9,551.76
Egypt,10,1117.66
Egypt,11,3229.06
Egypt,12,629.57
Egypt,13,454.77
Egypt,14,1148.13
Egypt,15,229.02
Egypt,16,255.14
Egypt,17,219.14
Egypt,18,122.66
Egypt,19,1074.2
Egypt,20,354.36
Egypt,21,134.76
Egypt,22,332.3
Egypt,23,122.62
Mali,,1538.0
Mali,0,85.36
Mali,1,243.39
Mali,2,35.51
Mali,3,586.69
Mali,4,59.63
Mali,5,95.85
Mali,6,76.36
Mali,7,195.57
Mali,8,2267.01
Mali,9,86.92
Mali,10,223.38
Mali,11,355.88
Mali,12,54.25
Mali,13,163.9
Mali,14,592.42
Mali,15,33.12
Mali,16,19640.54
Mali,17,99.92
Mali,18,289.72
Mali,19,267.57
Mali,20,110.81
Mali,21,410.46
Mali,22,956.6
Mali,23,443.5
Somalia,,301.86
Somalia,0,644.5
Somalia,1,1055.81
Somalia,2,218.88
Somalia,3,89.23
Somalia,4,377.33
Somalia,5,307.67
Somalia,6,1313.12
Somalia,7,79.08
Somalia,8,1125.49
Somalia,9,370.39
Somalia,10,216.48
Somalia,11,171.08
Somalia,12,63.29
Somalia,13,3062.45
Somalia,14,97.29
Somalia,15,92.97
Somalia,16,253.45
Somalia,17,157.41
Somalia,18,726.92
Somalia,19,408.18
Somalia,20,101.3
Somalia,21,745.85
Somalia,22,61.81
Somalia,23,50.54
Togo,0,58.32
Togo,1,406.59
Togo,3,104.65
Togo,4,95.92
Togo,6,10.04
Togo,7,112.56
Togo,8,500.14
Togo,9,48.0
Togo,10,257.1
Togo,11,108.93
Togo,12,90.0
Togo,13,46.97
Togo,14,255.98
Togo,15,29.36
Togo,16,208.67
Togo,17,337.71
Togo,18,130.32
Togo,19,41.24
Togo,20,162.51
Togo,21,139.46
Togo,22,816.57
Togo,23,44.96
