country,hour,avg
Bangladesh,,62.88
Bangladesh,0,1634.57
Bangladesh,1,962.06
Bangladesh,2,804.33
Bangladesh,3,560.28
Bangladesh,4,378.18
Bangladesh,5,197.54
Bangladesh,6,1717.02
Bangladesh,7,1043.74
Bangladesh,8,400.75
Bangladesh,9,646.73
Bangladesh,10,190.88
Bangladesh,11,503.86
Bangladesh,12,243.1
Bangladesh,13,80.48
Bangladesh,14,519.92
Bangladesh,15,1461.07
Bangladesh,16,349.11
Bangladesh,17,430.95
Bangladesh,18,266.07
Bangladesh,19,709.13
Bangladesh,20,679.63
Bangladesh,21,418.42
Bangladesh,22,241.33
Bangladesh,23,453.72
China,,286.62
China,0,708.25
China,1,449.82
China,2,663.05
China,3,470.64
China,4,576.68
China,5,688.15
China,6,846.07
China,7,670.94
China,8,446.39
China,9,585.85
China,10,403.94
China,11,597.15
China,12,544.76
China,13,568.05
China,14,529.04
China,15,472.74
China,16,525.56
China,17,464.21
China,18,1046.57
China,19,601.85
China,20,792.99
China,21,599.84
China,22,413.88
China,23,789.0
Japan,,207.42
Japan,0,518.21
Japan,1,283.84
Japan,2,341.69
Japan,3,2114.7
Japan,4,281.61
Japan,5,611.44
Japan,6,520.53
Japan,7,320.51
Japan,8,1602.03
Japan,9,575.87
Japan,10,672.86
Japan,11,353.49
Japan,12,229.26
Japan,13,267.62
Japan,14,293.19
Japan,15,506.86
Japan,16,364.99
Japan,17,392.56
Japan,18,157.51
Japan,19,972.17
Japan,20,1424.43
Japan,21,460.18
Japan,22,478.9
Japan,23,389.78
Pakistan,,373.85
Pakistan,0,182.05
Pakistan,1,186.87
Pakistan,2,155.55
Pakistan,3,60.0
Pakistan,4,394.14
Pakistan,5,364.54
Pakistan,6,306.75
Pakistan,7,138.6
Pakistan,8,138.22
Pakistan,9,109.33
Pakistan,10,211.47
Pakistan,11,887.78
Pakistan,12,180.19
Pakistan,13,265.04
Pakistan,14,278.73
Pakistan,15,306.11
Pakistan,16,113.87
Pakistan,17,115.1
Pakistan,18,217.65
Pakistan,19,442.92
Pakistan,20,138.38
Pakistan,21,129.09
Pakistan,22,185.39
Pakistan,23,101.66
South Korea,,49.51
South Korea,0,245.12
South Korea,1,472.13
South Korea,2,942.14
South Korea,3,1099.68
South Korea,4,924.37
South Korea,5,246.59
South Korea,6,341.87
South Korea,7,123.4
South Korea,8,147.1
South Korea,9,425.64
South Korea,10,2284.67
South Korea,11,187.99
South Korea,12,749.5
South Korea,13,508.12
South Korea,14,329.64
South Korea,15,396.09
South Korea,16,322.83
South Korea,17,814.24
South Korea,18,99.44
South Korea,19,119.73
South Korea,20,594.77
South Korea,21,177.93
South Korea,22,224.65
South Korea,23,329.28
