country,hour,avg
Australia,,34.86
Australia,0,132.81
Australia,1,251.99
Australia,2,63.26
Australia,3,56.72
Australia,4,479.83
Australia,5,274.54
Australia,6,167.58
Australia,7,100.14
Australia,8,127.52
Australia,9,255.32
Australia,10,45.78
Australia,11,180.68
Australia,12,60.4
Australia,13,161.58
Australia,14,87.57
Australia,15,239.78
Australia,16,114.76
Australia,17,151.54
Australia,18,88.54
Australia,19,171.06
Australia,20,120.95
Australia,21,503.33
Australia,22,7.5
Australia,23,80.17
Bahamas,,1.1
Bahamas,0,173.75
Bahamas,1,11.94
Bahamas,2,74.11
Bahamas,3,80.05
Bahamas,4,6.77
Bahamas,5,110.16
Bahamas,6,72.73
Bahamas,7,50.16
Bahamas,8,190.61
Bahamas,9,19.48
Bahamas,10,105.67
Bahamas,11,295.35
Bahamas,12,165.13
Bahamas,13,38.97
Bahamas,15,50.78
Bahamas,16,62.33
Bahamas,17,2129.27
Bahamas,18,118.25
Bahamas,19,69.29
Bahamas,20,57.6
Bahamas,21,49.94
Bahamas,22,100.34
Indonesia,,214.25
Indonesia,0,172.94
Indonesia,1,189.16
Indonesia,2,305.04
Indonesia,3,243.46
Indonesia,4,237.05
Indonesia,5,238.61
Indonesia,6,174.89
Indonesia,7,249.84
Indonesia,8,199.69
Indonesia,9,276.66
Indonesia,10,200.75
Indonesia,11,215.39
Indonesia,12,175.52
Indonesia,13,289.93
Indonesia,14,258.04
Indonesia,15,235.92
Indonesia,16,217.17
Indonesia,17,157.66
Indonesia,18,198.67
Indonesia,19,253.73
Indonesia,20,322.6
Indonesia,21,231.98
Indonesia,22,179.61
Indonesia,23,243.35
Philippines,,1349.9
Philippines,0,571.4
Philippines,1,451.18
Philippines,2,797.07
Philippines,3,363.67
Philippines,4,697.38
Philippines,5,601.06
Philippines,6,706.27
Philippines,7,527.27
Philippines,8,1084.31
Philippines,9,531.38
Philippines,10,770.79
Philippines,11,448.42
Philippines,12,436.85
Philippines,13,365.69
Philippines,14,402.49
Philippines,15,637.24
Philippines,16,439.66
Philippines,17,624.74
Philippines,18,348.44
Philippines,19,520.73
Philippines,20,779.92
Philippines,21,518.21
Philippines,22,290.81
Philippines,23,909.49
