country,hour,avg
Brazil,,290.68
Brazil,0,180.87
Brazil,1,356.51
Brazil,2,212.69
Brazil,3,211.51
Brazil,4,247.11
Brazil,5,712.44
Brazil,6,168.58
Brazil,7,554.53
Brazil,8,204.23
Brazil,9,212.71
Brazil,10,222.71
Brazil,11,308.52
Brazil,12,241.17
Brazil,13,143.19
Brazil,14,175.19
Brazil,15,261.33
Brazil,16,174.51
Brazil,17,280.88
Brazil,18,199.21
Brazil,19,247.08
Brazil,20,602.03
Brazil,21,230.0
Brazil,22,162.81
Brazil,23,290.97
Chile,,156.93
Chile,0,10510.76
Chile,1,59.58
Chile,2,2983.3
Chile,3,22.2
Chile,4,130.68
Chile,5,48.1
Chile,6,594.7
Chile,7,79.41
Chile,8,2865.62
Chile,9,112.85
Chile,10,19.29
Chile,11,389.82
Chile,12,610.08
Chile,13,141.13
Chile,14,66.76
Chile,15,285.54
Chile,16,215.29
Chile,17,50.97
Chile,18,73.36
Chile,19,187.58
Chile,20,486.55
Chile,21,137.95
Chile,22,408.03
Chile,23,4.59
Colombia,,90.43
Colombia,0,386.97
Colombia,1,511.94
Colombia,2,373.16
Colombia,3,505.05
Colombia,4,1315.48
Colombia,5,988.46
Colombia,6,489.63
Colombia,7,287.41
Colombia,8,910.58
Colombia,9,633.33
Colombia,10,425.08
Colombia,11,775.26
Colombia,12,724.19
Colombia,13,922.45
Colombia,14,425.62
Colombia,15,242.19
Colombia,16,368.04
Colombia,17,1026.46
Colombia,18,513.63
Colombia,19,634.18
Colombia,20,350.97
Colombia,21,366.85
Colombia,22,649.74
Colombia,23,796.89
Ecuador,,662.94
Ecuador,0,294.4
Ecuador,1,504.55
Ecuador,2,505.42
Ecuador,3,271.62
Ecuador,4,119.29
Ecuador,5,541.85
Ecuador,6,268.8
Ecuador,7,145.55
Ecuador,8,142.11
Ecuador,9,1111.68
Ecuador,10,368.12
Ecuador,11,168.9
Ecuador,12,538.17
Ecuador,13,49.79
Ecuador,14,424.15
Ecuador,15,302.74
Ecuador,16,4240.16
Ecuador,17,238.63
Ecuador,18,443.57
Ecuador,19,59.31
Ecuador,20,767.16
Ecuador,21,63.56
Ecuador,22,216.52
Ecuador,23,1129.65
Jamaica,,89.97
Jamaica,0,0.0
Jamaica,1,15.19
Jamaica,2,1.2
Jamaica,3,70.45
Jamaica,4,132.74
Jamaica,6,47.94
Jamaica,7,27.09
Jamaica,8,29.98
Jamaica,9,232.99
Jamaica,10,6839.05
Jamaica,11,1675.37
Jamaica,12,20.78
Jamaica,13,120.56
Jamaica,14,64.62
Jamaica,15,3.77
Jamaica,16,97.84
Jamaica,17,35.05
Jamaica,18,29.94
Jamaica,19,27.69
Jamaica,20,77.44
Jamaica,21,119.85
Jamaica,22,44.38
Jamaica,23,1.4
Panama,0,125.88
Panama,1,41.87
Panama,2,598.93
Panama,3,390.92
Panama,4,292.52
Panama,5,194.01
Panama,6,1191.14
Panama,7,503.64
Panama,8,286.06
Panama,9,236.55
Panama,10,135.33
Panama,11,218.93
Panama,12,290.98
Panama,13,155.17
Panama,14,183.78
Panama,15,96.9
Panama,16,985.53
Panama,17,497.14
Panama,18,428.4
Panama,19,542.13
Panama,20,33.95
Panama,21,1303.99
Panama,22,28.43
Panama,23,196.2
