country,month,avg
Cameroon,1,145.62
Cameroon,2,119.06
Cameroon,3,161.12
Cameroon,4,106.36
Cameroon,5,96.2
Cameroon,6,228.52
Cameroon,7,101.02
Cameroon,8,100.69
Cameroon,9,308.07
Cameroon,10,160.55
Cameroon,11,147.62
Cameroon,12,289.26
Egypt,,3848.74
Egypt,1,354.67
Egypt,2,224.18
Egypt,3,889.32
Egypt,4,837.6
Egypt,5,132.15
Egypt,6,5576.12
Egypt,7,149.27
Egypt,8,239.89
Egypt,9,448.06
Egypt,10,251.87
Egypt,11,680.58
Egypt,12,581.14
Mali,,1538.0
Mali,1,230.24
Mali,2,91.18
Mali,3,217.93
Mali,4,351.44
Mali,5,1274.86
Mali,6,345.57
Mali,7,100.06
Mali,8,244.1
Mali,9,224.11
Mali,10,9110.09
Mali,11,136.22
Mali,12,85.25
Somalia,,301.86
Somalia,1,632.72
Somalia,2,566.83
Somalia,3,369.47
Somalia,4,653.1
Somalia,5,423.19
Somalia,6,559.7
Somalia,7,66.29
Somalia,8,542.0
Somalia,9,780.55
Somalia,10,248.61
Somalia,11,501.95
Somalia,12,71.01
Togo,1,130.06
Togo,2,309.99
Togo,3,89.19
Togo,5,102.65
Togo,6,360.45
Togo,7,154.62
Togo,8,261.97
Togo,9,139.57
Togo,10,157.15
Togo,11,61.77
Togo,12,94.99
