country,month,avg
Bangladesh,,62.88
Bangladesh,1,911.15
Bangladesh,2,337.47
Bangladesh,3,341.61
Bangladesh,4,267.48
Bangladesh,5,127.67
Bangladesh,6,2279.5
Bangladesh,7,231.44
Bangladesh,8,611.15
Bangladesh,9,1089.31
Bangladesh,10,484.75
Bangladesh,11,150.7
Bangladesh,12,1269.35
China,,286.62
China,1,661.66
China,2,543.28
China,3,748.02
China,4,591.33
China,5,760.83
China,6,496.61
China,7,415.98
China,8,364.11
China,9,665.83
China,10,814.82
China,11,622.32
China,12,467.79
Japan,,207.42
Japan,1,495.37
Japan,2,347.2
Japan,3,435.31
Japan,4,752.83
Japan,5,990.52
Japan,6,562.83
Japan,7,424.56
Japan,8,897.34
Japan,9,411.89
Japan,10,1103.57
Japan,11,217.64
Japan,12,503.73
Pakistan,,373.85
Pakistan,1,209.18
Pakistan,2,235.1
Pakistan,3,177.08
Pakistan,4,147.38
Pakistan,5,112.56
Pakistan,6,108.96
Pakistan,7,151.57
Pakistan,8,354.85
Pakistan,9,189.8
Pakistan,10,157.51
Pakistan,11,197.79
Pakistan,12,816.57
South Korea,,49.51
South Korea,1,415.36
South Korea,2,582.4
South Korea,3,594.36
South Korea,4,328.19
South Korea,5,469.2
South Korea,6,705.69
South Korea,7,489.78
South Korea,8,390.87
South Korea,9,1064.83
South Korea,10,452.95
South Korea,11,204.33
South Korea,12,220.55
