country,month,avg
Albania,,475.24
Albania,1,833.44
Albania,2,353.87
Albania,3,599.1
Albania,4,183.53
Albania,5,124.71
Albania,6,132.81
Albania,7,383.7
Albania,8,631.69
Albania,9,2034.79
Albania,10,632.12
Albania,11,1181.39
Albania,12,561.94
France,,372.26
France,1,1059.13
France,2,565.77
France,3,1023.98
France,4,632.96
France,5,517.51
France,6,658.8
France,7,489.29
France,8,684.89
France,9,467.55
France,10,427.31
France,11,361.86
France,12,828.37
Germany,,138.23
Germany,1,568.26
Germany,2,666.55
Germany,3,381.07
Germany,4,685.68
Germany,5,898.91
Germany,6,159.69
Germany,7,399.13
Germany,8,702.58
Germany,9,577.08
Germany,10,343.0
Germany,11,466.97
Germany,12,1720.25
Greece,,482.54
Greece,1,1036.61
Greece,2,1258.48
Greece,3,411.7
Greece,4,766.18
Greece,5,229.14
Greece,6,442.59
Greece,7,654.69
Greece,8,548.62
Greece,9,583.45
Greece,10,876.41
Greece,11,486.2
Greece,12,932.31
Italy,1,72.12
Italy,2,1207.21
Italy,3,69.1
Italy,4,64.23
Italy,5,85.27
Italy,6,112.33
Italy,7,185.87
Italy,8,87.36
Italy,9,27.88
Italy,10,798.0
Italy,11,37.49
Italy,12,1982.76
United Kingdom,,95.2
United Kingdom,1,879.56
United Kingdom,2,2601.15
United Kingdom,3,547.08
United Kingdom,4,968.61
United Kingdom,5,606.37
United Kingdom,6,84.71
United Kingdom,7,149.74
United Kingdom,8,374.57
United Kingdom,9,391.38
United Kingdom,10,699.58
United Kingdom,11,900.0
United Kingdom,12,174.06
