country,month,avg
Brazil,,290.68
Brazil,1,303.46
Brazil,2,201.59
Brazil,3,395.54
Brazil,4,230.24
Brazil,5,373.33
Brazil,6,200.91
Brazil,7,244.41
Brazil,8,433.65
Brazil,9,208.1
Brazil,10,263.3
Brazil,11,161.8
Brazil,12,173.8
Chile,,156.93
Chile,1,263.72
Chile,2,344.4
Chile,3,3718.62
Chile,4,661.41
Chile,5,337.9
Chile,6,1112.3
Chile,7,245.98
Chile,8,195.54
Chile,9,219.57
Chile,10,373.06
Chile,11,42.98
Chile,12,62.1
Colombia,,90.43
Colombia,1,377.06
Colombia,2,1104.84
Colombia,3,735.4
Colombia,4,714.7
Colombia,5,842.28
Colombia,6,602.64
Colombia,7,563.48
Colombia,8,366.01
Colombia,9,432.24
Colombia,10,389.28
Colombia,11,588.09
Colombia,12,722.19
Ecuador,,662.94
Ecuador,1,555.31
Ecuador,2,144.59
Ecuador,3,473.02
Ecuador,4,201.18
Ecuador,5,412.57
Ecuador,6,350.56
Ecuador,7,269.66
Ecuador,8,2569.27
Ecuador,9,275.62
Ecuador,10,374.33
Ecuador,11,188.7
Ecuador,12,564.31
Jamaica,,89.97
Jamaica,1,34.99
Jamaica,2,153.38
Jamaica,3,42.62
Jamaica,4,472.17
Jamaica,5,138.47
Jamaica,7,4766.27
Jamaica,8,119.85
Jamaica,9,73.37
Jamaica,10,1658.1
Jamaica,12,0.6
Panama,1,586.09
Panama,2,562.11
Panama,3,183.49
Panama,4,270.26
Panama,5,168.27
Panama,6,30.79
Panama,7,483.33
Panama,8,186.95
Panama,9,329.83
Panama,10,518.57
Panama,11,428.61
Panama,12,527.93
