ecommerce_website_name,country,percent
ASDA,China,33.1
ASDA,Indonesia,22.0
ASDA,Philippines,10.5
ASDA,Brazil,8.4
ASDA,France,5.5
ASDA,Japan,4.0
ASDA,Canada,2.2
ASDA,Colombia,2.1
ASDA,Greece,2.1
ASDA,Mexico,1.6
ASDA,Albania,1.1
ASDA,Bangladesh,1.0
ASDA,Germany,1.0
ASDA,Pakistan,1.0
ASDA,South Korea,0.8
ASDA,United Kingdom,0.6
ASDA,Egypt,0.6
ASDA,Ecuador,0.6
ASDA,Panama,0.4
ASDA,Australia,0.3
ASDA,Mali,0.3
ASDA,Chile,0.3
ASDA,Cameroon,0.2
ASDA,Somalia,0.1
ASDA,Jamaica,0.1
ASDA,Bahamas,0.1
Amazon,China,32.6
Amazon,Indonesia,22.9
Amazon,Philippines,10.9
Amazon,Brazil,8.1
Amazon,France,5.2
Amazon,Japan,3.0
Amazon,Colombia,2.4
Amazon,Mexico,2.4
Amazon,Greece,1.8
Amazon,Pakistan,1.6
Amazon,Germany,1.6
Amazon,Canada,1.6
Amazon,Albania,0.9
Amazon,United Kingdom,0.7
Amazon,South Korea,0.7
Amazon,Egypt,0.6
Amazon,Ecuador,0.5
Amazon,Chile,0.4
Amazon,Cameroon,0.4
Amazon,Bangladesh,0.4
Amazon,Mali,0.3
Amazon,Australia,0.3
Amazon,Panama,0.3
Amazon,Somalia,0.2
Amazon,Italy,0.1
Amazon,Bahamas,0.1
Apple,China,32.6
Apple,Indonesia,21.7
Apple,Brazil,10.0
Apple,Philippines,9.9
Apple,France,5.0
Apple,Colombia,3.5
Apple,Japan,3.3
Apple,Mexico,2.1
Apple,Greece,1.7
Apple,Canada,1.5
Apple,South Korea,1.2
Apple,Germany,1.0
Apple,Albania,1.0
Apple,Egypt,0.8
Apple,Pakistan,0.7
Apple,Bangladesh,0.6
Apple,United Kingdom,0.5
Apple,Togo,0.5
Apple,Chile,0.4
Apple,Ecuador,0.4
Apple,Panama,0.3
Apple,Cameroon,0.3
Apple,Mali,0.2
Apple,Australia,0.2
Apple,Somalia,0.2
Apple,Italy,0.1
Apple,Bahamas,0.1
Apple,Jamaica,0.1
Argos,China,32.6
Argos,Indonesia,21.1
Argos,Brazil,10.2
Argos,Philippines,10.0
Argos,France,4.8
Argos,Japan,3.3
Argos,Colombia,3.3
Argos,Mexico,2.5
Argos,Canada,2.2
Argos,Greece,1.9
Argos,Germany,1.3
Argos,United Kingdom,0.9
Argos,Bangladesh,0.9
Argos,South Korea,0.9
Argos,Pakistan,0.9
Argos,Egypt,0.6
Argos,Ecuador,0.5
Argos,Mali,0.4
Argos,Albania,0.3
Argos,Panama,0.3
Argos,Australia,0.3
Argos,Jamaica,0.3
Argos,Somalia,0.2
Argos,Chile,0.1
Argos,Bahamas,0.1
Argos,Cameroon,0.1
Argos,Togo,0.1
BestBuy,China,33.8
BestBuy,Indonesia,20.3
BestBuy,Philippines,11.1
BestBuy,Brazil,9.7
BestBuy,France,5.0
BestBuy,Colombia,3.5
BestBuy,Japan,3.0
BestBuy,Mexico,2.1
BestBuy,South Korea,1.7
BestBuy,Greece,1.7
BestBuy,Canada,1.5
BestBuy,Albania,1.1
BestBuy,Germany,1.0
BestBuy,Egypt,0.7
BestBuy,Bangladesh,0.6
BestBuy,Ecuador,0.6
BestBuy,United Kingdom,0.4
BestBuy,Pakistan,0.4
BestBuy,Somalia,0.3
BestBuy,Mali,0.3
BestBuy,Australia,0.3
BestBuy,Italy,0.2
BestBuy,Cameroon,0.2
BestBuy,Chile,0.1
BestBuy,Panama,0.1
BestBuy,Bahamas,0.1
BestBuy,Togo,0.1
Brainbridge,China,32.6
Brainbridge,Indonesia,20.8
Brainbridge,Philippines,10.2
Brainbridge,Brazil,9.5
Brainbridge,France,5.8
Brainbridge,Colombia,2.9
Brainbridge,Japan,2.9
Brainbridge,Mexico,2.1
Brainbridge,Greece,2.0
Brainbridge,Canada,1.8
Brainbridge,Pakistan,1.2
Brainbridge,South Korea,1.1
Brainbridge,Bangladesh,0.9
Brainbridge,Germany,0.9
Brainbridge,Egypt,0.9
Brainbridge,United Kingdom,0.8
Brainbridge,Mali,0.7
Brainbridge,Albania,0.7
Brainbridge,Ecuador,0.6
Brainbridge,Panama,0.4
Brainbridge,Togo,0.3
Brainbridge,Australia,0.3
Brainbridge,Italy,0.2
Brainbridge,Jamaica,0.2
Brainbridge,Chile,0.1
Brainbridge,Bahamas,0.1
Brainbridge,Cameroon,0.1
Brainbridge,Somalia,0.1
Canada Computers.cn,China,33.9
Canada Computers.cn,Indonesia,21.2
Canada Computers.cn,Philippines,10.9
Canada Computers.cn,Brazil,10.4
Canada Computers.cn,France,4.3
Canada Computers.cn,Colombia,2.9
Canada Computers.cn,Japan,2.7
Canada Computers.cn,Canada,1.7
Canada Computers.cn,Mexico,1.6
Canada Computers.cn,Greece,1.5
Canada Computers.cn,South Korea,1.4
Canada Computers.cn,Egypt,1.4
Canada Computers.cn,Germany,1.0
Canada Computers.cn,Albania,0.9
Canada Computers.cn,Pakistan,0.9
Canada Computers.cn,Bangladesh,0.9
Canada Computers.cn,United Kingdom,0.6
Canada Computers.cn,Ecuador,0.3
Canada Computers.cn,Panama,0.3
Canada Computers.cn,Australia,0.3
Canada Computers.cn,Chile,0.1
Canada Computers.cn,Mali,0.1
Canada Computers.cn,Cameroon,0.1
Canada Computers.cn,Jamaica,0.1
Canada Computers.cn,Somalia,0.1
Canada Computers.cn,Italy,0.1
Canada Computers.cn,Togo,0.1
Canada Computers.cn,Bahamas,0.1
DesDev,China,31.5
DesDev,Indonesia,22.6
DesDev,Brazil,9.9
DesDev,Philippines,9.8
DesDev,France,4.9
DesDev,Colombia,3.2
DesDev,Japan,3.1
DesDev,Greece,2.6
DesDev,Mexico,2.5
DesDev,Pakistan,1.4
DesDev,United Kingdom,1.1
DesDev,Germany,1.1
DesDev,Canada,1.0
DesDev,South Korea,0.8
DesDev,Egypt,0.8
DesDev,Albania,0.7
DesDev,Bangladesh,0.6
DesDev,Ecuador,0.6
DesDev,Cameroon,0.4
DesDev,Bahamas,0.2
DesDev,Mali,0.2
DesDev,Somalia,0.2
DesDev,Australia,0.2
DesDev,Chile,0.2
DesDev,Panama,0.2
DesDev,Jamaica,0.1
DesDev,Togo,0.1
Ebay,China,32.0
Ebay,Indonesia,21.2
Ebay,Philippines,10.1
Ebay,Brazil,9.4
Ebay,France,5.2
Ebay,Colombia,3.2
Ebay,Mexico,2.8
Ebay,Greece,2.4
Ebay,Japan,2.0
Ebay,Canada,1.5
Ebay,Bangladesh,1.3
Ebay,South Korea,1.2
Ebay,Ecuador,1.1
Ebay,Egypt,1.0
Ebay,Germany,0.9
Ebay,Pakistan,0.9
Ebay,United Kingdom,0.9
Ebay,Albania,0.7
Ebay,Panama,0.6
Ebay,Chile,0.4
Ebay,Australia,0.2
Ebay,Mali,0.2
Ebay,Somalia,0.2
Ebay,Togo,0.2
Ebay,Jamaica,0.1
Ebay,Cameroon,0.1
Ebay,Bahamas,0.1
Hacker Typer.,China,33.8
Hacker Typer.,Indonesia,20.9
Hacker Typer.,Philippines,11.3
Hacker Typer.,Brazil,8.9
Hacker Typer.,France,5.8
Hacker Typer.,Colombia,3.1
Hacker Typer.,Mexico,2.6
Hacker Typer.,Japan,2.6
Hacker Typer.,Greece,1.4
Hacker Typer.,Pakistan,1.2
Hacker Typer.,Canada,1.2
Hacker Typer.,Germany,1.1
Hacker Typer.,Egypt,1.1
Hacker Typer.,South Korea,0.9
Hacker Typer.,Mali,0.6
Hacker Typer.,United Kingdom,0.6
Hacker Typer.,Ecuador,0.6
Hacker Typer.,Albania,0.5
Hacker Typer.,Bangladesh,0.4
Hacker Typer.,Panama,0.4
Hacker Typer.,Somalia,0.3
Hacker Typer.,Chile,0.3
Hacker Typer.,Australia,0.3
Hacker Typer.,Cameroon,0.1
Hacker Typer.,Italy,0.1
Hacker Typer.,Togo,0.1
IndiaTech.in,China,32.2
IndiaTech.in,Indonesia,21.3
IndiaTech.in,Philippines,10.4
IndiaTech.in,Brazil,9.8
IndiaTech.in,France,4.7
IndiaTech.in,Colombia,3.1
IndiaTech.in,Japan,3.0
IndiaTech.in,Greece,2.5
IndiaTech.in,Canada,2.2
IndiaTech.in,Mexico,1.7
IndiaTech.in,Egypt,1.2
IndiaTech.in,South Korea,1.1
IndiaTech.in,Germany,1.1
IndiaTech.in,Pakistan,0.9
IndiaTech.in,Albania,0.9
IndiaTech.in,Bangladesh,0.6
IndiaTech.in,Ecuador,0.6
IndiaTech.in,United Kingdom,0.6
IndiaTech.in,Mali,0.5
IndiaTech.in,Cameroon,0.4
IndiaTech.in,Jamaica,0.3
IndiaTech.in,Togo,0.2
IndiaTech.in,Australia,0.2
IndiaTech.in,Panama,0.2
IndiaTech.in,Somalia,0.1
IndiaTech.in,Chile,0.1
Lasko,China,33.4
Lasko,Indonesia,19.6
Lasko,Philippines,11.1
Lasko,Brazil,10.4
Lasko,France,5.5
Lasko,Japan,3.8
Lasko,Colombia,2.8
Lasko,Mexico,2.0
Lasko,Greece,1.8
Lasko,Canada,1.8
Lasko,South Korea,0.9
Lasko,Pakistan,0.8
Lasko,Germany,0.8
Lasko,United Kingdom,0.8
Lasko,Egypt,0.8
Lasko,Albania,0.8
