ecommerce_website_name,country,percent
ASDA,Indonesia,29.4
ASDA,China,25.8
ASDA,Brazil,12.2
ASDA,Philippines,8.4
ASDA,Japan,4.2
ASDA,France,3.5
ASDA,Canada,3.3
ASDA,Greece,2.4
ASDA,Pakistan,1.6
ASDA,Colombia,1.2
ASDA,Mali,1.2
ASDA,Australia,1.1
ASDA,South Korea,1.1
ASDA,Albania,0.9
ASDA,Mexico,0.9
ASDA,Ecuador,0.5
ASDA,Chile,0.5
ASDA,Panama,0.5
ASDA,Bahamas,0.4
ASDA,United Kingdom,0.4
ASDA,Bangladesh,0.3
ASDA,Cameroon,0.3
ASDA,Egypt,0.0
ASDA,Somalia,0.0
Amazon,Indonesia,29.8
Amazon,China,24.7
Amazon,Brazil,11.2
Amazon,Philippines,8.5
Amazon,Mexico,4.4
Amazon,Canada,3.3
Amazon,Greece,3.3
Amazon,France,3.0
Amazon,Pakistan,2.5
Amazon,Colombia,1.8
Amazon,Germany,1.4
Amazon,Japan,1.3
Amazon,Albania,0.9
Amazon,Egypt,0.9
Amazon,Australia,0.7
Amazon,South Korea,0.6
Amazon,Chile,0.6
Amazon,Cameroon,0.4
Amazon,Mali,0.3
Amazon,Somalia,0.1
Amazon,United Kingdom,0.1
Amazon,Panama,0.0
Apple,Indonesia,30.5
Apple,China,26.8
Apple,Brazil,12.2
Apple,Philippines,5.8
Apple,Japan,4.4
Apple,France,3.4
Apple,Colombia,2.8
Apple,Canada,2.7
Apple,Mexico,2.2
Apple,Pakistan,1.7
Apple,Togo,1.3
Apple,Chile,0.9
Apple,South Korea,0.8
Apple,Germany,0.8
Apple,Greece,0.8
Apple,Cameroon,0.5
Apple,Bangladesh,0.5
Apple,Jamaica,0.5
Apple,Egypt,0.4
Apple,Albania,0.4
Apple,Somalia,0.3
Apple,United Kingdom,0.2
Apple,Ecuador,0.1
Apple,Panama,0.0
Argos,China,27.6
Argos,Indonesia,27.3
Argos,Brazil,14.3
Argos,Philippines,7.2
Argos,Canada,5.1
Argos,France,3.7
Argos,Japan,3.0
Argos,Mexico,3.0
Argos,Colombia,1.8
Argos,Greece,1.4
Argos,South Korea,1.0
Argos,Bangladesh,0.9
Argos,Ecuador,0.6
Argos,United Kingdom,0.6
Argos,Jamaica,0.5
Argos,Albania,0.5
Argos,Togo,0.5
Argos,Pakistan,0.4
Argos,Germany,0.4
Argos,Mali,0.2
Argos,Panama,0.0
Argos,Australia,0.0
BestBuy,China,27.6
BestBuy,Indonesia,25.5
BestBuy,Brazil,13.2
BestBuy,Philippines,10.4
BestBuy,Colombia,3.3
BestBuy,Greece,2.3
BestBuy,Japan,2.0
BestBuy,France,1.8
BestBuy,South Korea,1.6
BestBuy,Pakistan,1.5
BestBuy,Mexico,1.5
BestBuy,Canada,1.5
BestBuy,Egypt,1.4
BestBuy,Albania,1.4
BestBuy,Australia,1.0
BestBuy,Germany,1.0
BestBuy,United Kingdom,0.7
BestBuy,Ecuador,0.6
BestBuy,Bangladesh,0.6
BestBuy,Cameroon,0.4
BestBuy,Italy,0.4
BestBuy,Somalia,0.3
BestBuy,Mali,0.3
Brainbridge,China,27.3
Brainbridge,Indonesia,27.2
Brainbridge,Brazil,13.1
Brainbridge,Philippines,9.4
Brainbridge,Colombia,4.5
Brainbridge,France,3.0
Brainbridge,Canada,2.6
Brainbridge,Mexico,2.5
Brainbridge,Germany,1.8
Brainbridge,Greece,1.6
Brainbridge,Albania,1.3
Brainbridge,Egypt,1.2
Brainbridge,Pakistan,1.1
Brainbridge,Japan,0.6
Brainbridge,Bangladesh,0.6
Brainbridge,South Korea,0.5
Brainbridge,Australia,0.5
Brainbridge,United Kingdom,0.4
Brainbridge,Ecuador,0.3
Brainbridge,Mali,0.3
Brainbridge,Togo,0.2
Brainbridge,Panama,0.1
Brainbridge,Italy,0.0
Brainbridge,Jamaica,0.0
Canada Computers.cn,Indonesia,28.3
Canada Computers.cn,China,25.0
Canada Computers.cn,Brazil,15.9
Canada Computers.cn,Philippines,8.3
Canada Computers.cn,France,5.3
Canada Computers.cn,Japan,3.3
Canada Computers.cn,Colombia,3.1
