ecommerce_website_name,country,percent
ASDA,China,41.9
ASDA,Japan,18.2
ASDA,United Kingdom,17.3
ASDA,Philippines,7.9
ASDA,Germany,5.9
ASDA,France,3.0
ASDA,Indonesia,2.1
ASDA,Greece,1.1
ASDA,Brazil,1.0
ASDA,Panama,0.7
ASDA,Colombia,0.4
ASDA,Egypt,0.2
ASDA,Albania,0.1
ASDA,Mexico,0.1
ASDA,Ecuador,0.1
ASDA,Canada,0.0
ASDA,Bangladesh,0.0
ASDA,Mali,0.0
ASDA,Chile,0.0
ASDA,Pakistan,0.0
ASDA,South Korea,0.0
Amazon,China,31.7
Amazon,Philippines,12.8
Amazon,Indonesia,11.1
Amazon,Brazil,10.4
Amazon,Greece,9.5
Amazon,Bangladesh,7.1
Amazon,Canada,3.5
Amazon,Pakistan,3.0
Amazon,Germany,2.7
Amazon,Japan,2.6
Amazon,France,2.4
Amazon,Colombia,1.4
Amazon,Ecuador,0.5
Amazon,Italy,0.4
Amazon,Cameroon,0.2
Amazon,Mexico,0.1
Amazon,South Korea,0.1
Amazon,United Kingdom,0.1
Amazon,Albania,0.1
Amazon,Bahamas,0.0
Amazon,Somalia,0.0
Amazon,Panama,0.0
Amazon,Egypt,0.0
Amazon,Mali,0.0
Apple,China,29.7
Apple,Philippines,15.5
Apple,Colombia,10.6
Apple,France,9.9
Apple,Mexico,9.1
Apple,Indonesia,6.4
Apple,Egypt,5.2
Apple,Chile,3.8
Apple,United Kingdom,2.2
Apple,Germany,1.8
Apple,Japan,1.7
Apple,Greece,1.5
Apple,South Korea,1.0
Apple,Bangladesh,0.9
Apple,Brazil,0.6
Apple,Albania,0.1
Apple,Cameroon,0.1
Apple,Italy,0.0
Apple,Canada,0.0
Apple,Panama,0.0
Argos,China,64.1
Argos,France,6.6
Argos,Mexico,6.0
Argos,Greece,6.0
Argos,Philippines,4.1
Argos,Brazil,3.4
Argos,Indonesia,2.6
Argos,Colombia,2.4
Argos,Germany,2.2
Argos,South Korea,0.9
Argos,Ecuador,0.6
Argos,Japan,0.5
Argos,United Kingdom,0.2
Argos,Canada,0.1
Argos,Australia,0.1
Argos,Egypt,0.1
Argos,Panama,0.1
Argos,Pakistan,0.1
Argos,Bangladesh,0.0
Argos,Albania,0.0
Argos,Mali,0.0
BestBuy,China,37.7
BestBuy,Philippines,18.6
BestBuy,Colombia,10.0
BestBuy,France,8.5
BestBuy,Mexico,8.1
BestBuy,Greece,6.5
BestBuy,Indonesia,3.4
BestBuy,Bangladesh,2.9
BestBuy,Brazil,1.5
BestBuy,United Kingdom,1.0
BestBuy,Japan,0.9
BestBuy,Ecuador,0.4
BestBuy,Germany,0.3
BestBuy,Albania,0.1
BestBuy,Canada,0.0
BestBuy,South Korea,0.0
BestBuy,Italy,0.0
BestBuy,Egypt,0.0
BestBuy,Cameroon,0.0
BestBuy,Somalia,0.0
BestBuy,Pakistan,0.0
Brainbridge,China,78.1
Brainbridge,Indonesia,6.8
Brainbridge,Greece,4.0
Brainbridge,Philippines,3.1
Brainbridge,France,2.9
Brainbridge,Egypt,1.2
Brainbridge,Mexico,1.0
