ecommerce_website_name,country,percent
ASDA,China,50.7
ASDA,Philippines,11.8
ASDA,Japan,5.2
ASDA,Indonesia,5.1
ASDA,Brazil,4.8
ASDA,France,4.6
ASDA,Bangladesh,3.7
ASDA,Germany,3.6
ASDA,Colombia,2.5
ASDA,South Korea,2.2
ASDA,Pakistan,1.2
ASDA,Mexico,1.0
ASDA,Egypt,0.9
ASDA,Albania,0.9
ASDA,Canada,0.7
ASDA,United Kingdom,0.6
ASDA,Mali,0.3
ASDA,Ecuador,0.1
ASDA,Greece,0.1
ASDA,Australia,0.0
ASDA,Cameroon,0.0
Amazon,China,41.1
Amazon,Indonesia,15.0
Amazon,Philippines,14.3
Amazon,Brazil,6.5
Amazon,Greece,5.0
Amazon,France,4.2
Amazon,Japan,3.4
Amazon,Colombia,2.9
Amazon,Mexico,2.3
Amazon,Germany,1.4
Amazon,Panama,1.2
Amazon,Bangladesh,1.1
Amazon,Egypt,0.5
Amazon,Chile,0.4
Amazon,Canada,0.3
Amazon,Ecuador,0.2
Amazon,United Kingdom,0.1
Amazon,Mali,0.1
Amazon,Australia,0.0
Amazon,Pakistan,0.0
Apple,China,44.8
Apple,Indonesia,19.3
Apple,Philippines,9.9
Apple,France,3.8
Apple,Brazil,3.7
Apple,Greece,3.4
Apple,Japan,3.0
Apple,Colombia,2.3
Apple,Egypt,1.6
Apple,Germany,1.6
Apple,Albania,1.5
Apple,Mexico,1.1
Apple,Australia,0.8
Apple,Jamaica,0.8
Apple,Togo,0.8
Apple,Ecuador,0.6
Apple,Panama,0.3
Apple,United Kingdom,0.2
Apple,Mali,0.2
Apple,South Korea,0.1
Apple,Chile,0.1
Apple,Bangladesh,0.0
Apple,Bahamas,0.0
Apple,Canada,0.0
Argos,China,40.3
Argos,Indonesia,9.4
Argos,France,8.9
Argos,Philippines,7.2
Argos,Greece,5.8
Argos,Mexico,4.3
Argos,Colombia,4.3
Argos,Japan,3.9
Argos,Brazil,3.2
Argos,South Korea,2.6
Argos,Albania,2.3
Argos,Bangladesh,1.5
Argos,Egypt,1.3
Argos,Jamaica,1.3
Argos,United Kingdom,1.2
Argos,Canada,1.0
Argos,Germany,0.7
Argos,Australia,0.5
Argos,Ecuador,0.4
Argos,Somalia,0.0
Argos,Pakistan,0.0
Argos,Chile,0.0
Argos,Panama,0.0
BestBuy,China,40.7
BestBuy,Philippines,17.4
BestBuy,South Korea,8.2
BestBuy,Indonesia,7.4
BestBuy,France,5.8
BestBuy,Brazil,4.7
BestBuy,Colombia,3.7
BestBuy,Egypt,3.3
BestBuy,Mexico,1.8
BestBuy,Bahamas,1.7
BestBuy,Japan,1.3
BestBuy,Ecuador,1.2
BestBuy,Albania,1.0
BestBuy,Greece,0.9
BestBuy,Panama,0.4
BestBuy,Canada,0.4
BestBuy,Germany,0.1
BestBuy,Bangladesh,0.1
BestBuy,Mali,0.0
BestBuy,Chile,0.0
Brainbridge,China,48.7
Brainbridge,Philippines,9.5
Brainbridge,Brazil,8.8
Brainbridge,France,7.7
Brainbridge,Japan,5.9
Brainbridge,Indonesia,4.7
Brainbridge,Bangladesh,3.3
Brainbridge,Mexico,2.3
Brainbridge,Colombia,1.7
Brainbridge,Greece,1.3
Brainbridge,Ecuador,1.3
Brainbridge,Egypt,1.3
Brainbridge,Canada,1.0
Brainbridge,Mali,0.7
Brainbridge,Germany,0.7
Brainbridge,Albania,0.4
Brainbridge,South Korea,0.3
Brainbridge,Panama,0.3
Brainbridge,Chile,0.1
Brainbridge,United Kingdom,0.0
Brainbridge,Jamaica,0.0
Brainbridge,Pakistan,0.0
Canada Computers.cn,China,42.6
Canada Computers.cn,Philippines,17.0
Canada Computers.cn,Japan,6.9
Canada Computers.cn,France,6.5
Canada Computers.cn,Colombia,5.8
Canada Computers.cn,Brazil,5.2
Canada Computers.cn,South Korea,4.1
Canada Computers.cn,Egypt,3.1
Canada Computers.cn,Mexico,2.4
Canada Computers.cn,Indonesia,1.7
Canada Computers.cn,Greece,1.4
Canada Computers.cn,Bangladesh,1.4
Canada Computers.cn,Albania,0.7
Canada Computers.cn,Canada,0.5
Canada Computers.cn,Panama,0.3
Canada Computers.cn,Germany,0.2
Canada Computers.cn,Italy,0.1
DesDev,China,36.5
DesDev,Philippines,18.2
DesDev,Brazil,8.6
DesDev,France,7.4
DesDev,Japan,5.7
DesDev,Colombia,5.7
DesDev,Indonesia,4.1
DesDev,Greece,4.0
DesDev,Albania,2.6
DesDev,Bangladesh,2.3
DesDev,Mexico,1.8
DesDev,Egypt,1.1
DesDev,United Kingdom,0.9
DesDev,Germany,0.5
DesDev,South Korea,0.3
DesDev,Pakistan,0.3
DesDev,Ecuador,0.1
DesDev,Bahamas,0.0
Ebay,China,30.5
Ebay,France,15.1
Ebay,Philippines,13.6
Ebay,Greece,6.7
Ebay,Indonesia,5.9
Ebay,Ecuador,5.1
Ebay,Bangladesh,4.2
Ebay,Colombia,3.8
Ebay,Albania,3.7
Ebay,Brazil,3.4
Ebay,Panama,2.1
Ebay,Mexico,1.5
Ebay,Egypt,1.2
Ebay,Japan,1.1
Ebay,South Korea,0.6
Ebay,Chile,0.3
Ebay,Canada,0.3
Ebay,Togo,0.3
Ebay,Australia,0.2
Ebay,Germany,0.2
Ebay,Somalia,0.0
Ebay,Mali,0.0
Hacker Typer.,China,46.8
Hacker Typer.,Philippines,14.3
Hacker Typer.,France,9.6
Hacker Typer.,Colombia,8.0
Hacker Typer.,Japan,5.7
Hacker Typer.,Brazil,4.0
Hacker Typer.,Indonesia,4.0
Hacker Typer.,Mexico,3.3
Hacker Typer.,Greece,0.8
Hacker Typer.,Bangladesh,0.7
Hacker Typer.,Egypt,0.7
Hacker Typer.,Albania,0.7
Hacker Typer.,Pakistan,0.5
Hacker Typer.,Somalia,0.4
Hacker Typer.,Germany,0.2
Hacker Typer.,Panama,0.2
Hacker Typer.,Ecuador,0.2
Hacker Typer.,United Kingdom,0.1
Hacker Typer.,Canada,0.0
IndiaTech.in,China,46.9
IndiaTech.in,France,9.7
IndiaTech.in,Brazil,8.1
IndiaTech.in,Philippines,8.1
IndiaTech.in,Indonesia,4.7
IndiaTech.in,Japan,4.3
IndiaTech.in,Greece,3.9
IndiaTech.in,United Kingdom,3.7
IndiaTech.in,Egypt,3.4
IndiaTech.in,Germany,1.5
IndiaTech.in,Colombia,1.4
IndiaTech.in,Mexico,1.3
IndiaTech.in,Albania,0.8
IndiaTech.in,Canada,0.7
IndiaTech.in,Mali,0.5
IndiaTech.in,Ecuador,0.4
IndiaTech.in,South Korea,0.2
IndiaTech.in,Bangladesh,0.2
IndiaTech.in,Pakistan,0.0
Lasko,China,48.0
Lasko,France,12.4
Lasko,Japan,9.7
Lasko,Philippines,5.9
Lasko,Greece,4.4
Lasko,Brazil,4.1
Lasko,Mexico,4.1
Lasko,Indonesia,3.6
Lasko,South Korea,2.1
Lasko,Egypt,1.6
Lasko,Canada,1.3
Lasko,Colombia,0.9
Lasko,United Kingdom,0.5
Lasko,Albania,0.5
Lasko,Germany,0.2
Lasko,Pakistan,0.2
Lasko,Ecuador,0.2
Lasko,Somalia,0.2
Lasko,Togo,0.0
Lotus,China,38.2
Lotus,Indonesia,9.5
Lotus,Philippines,8.8
Lotus,Greece,8.2
Lotus,France,6.3
Lotus,Colombia,6.2
Lotus,Japan,4.3
Lotus,Germany,3.0
Lotus,Egypt,2.9
Lotus,Brazil,2.7
Lotus,Mali,2.6
Lotus,Mexico,2.1
Lotus,Albania,1.7
Lotus,Bangladesh,1.2
Lotus,South Korea,0.8
Lotus,Somalia,0.4
Lotus,Panama,0.3
Lotus,Ecuador,0.2
Lotus,Canada,0.2
Lotus,Pakistan,0.1
Lotus,United Kingdom,0.0
Lotus,Italy,0.0
Microsoft,China,42.1
Microsoft,Philippines,24.0
Microsoft,Colombia,6.6
Microsoft,South Korea,4.2
Microsoft,Indonesia,4.1
Microsoft,France,3.3
Microsoft,Greece,2.7
Microsoft,Somalia,2.6
Microsoft,Japan,2.0
Microsoft,Brazil,1.6
Microsoft,Mexico,1.2
Microsoft,Germany,1.2
Microsoft,Panama,1.0
Microsoft,Ecuador,0.8
Microsoft,Canada,0.8
Microsoft,Chile,0.5
Microsoft,Bangladesh,0.4
