ecommerce_website_name,country,percent
ASDA,China,34.9
ASDA,Philippines,21.8
ASDA,Indonesia,10.3
ASDA,France,7.0
ASDA,Germany,5.3
ASDA,Albania,4.0
ASDA,Mexico,3.3
ASDA,Japan,3.1
ASDA,United Kingdom,3.1
ASDA,Colombia,2.5
ASDA,Greece,1.9
ASDA,Brazil,1.2
ASDA,Somalia,0.4
ASDA,Chile,0.3
ASDA,South Korea,0.3
ASDA,Bangladesh,0.2
ASDA,Canada,0.2
ASDA,Australia,0.2
ASDA,Panama,0.1
ASDA,Ecuador,0.0
ASDA,Pakistan,0.0
ASDA,Jamaica,0.0
ASDA,Cameroon,0.0
Amazon,China,41.2
Amazon,Philippines,21.0
Amazon,Indonesia,6.9
Amazon,Japan,4.8
Amazon,Germany,4.3
Amazon,Brazil,4.3
Amazon,Colombia,3.6
Amazon,Greece,3.5
Amazon,Chile,2.7
Amazon,Albania,2.2
Amazon,France,2.0
Amazon,South Korea,1.2
Amazon,Mexico,0.7
Amazon,Bangladesh,0.5
Amazon,Cameroon,0.4
Amazon,Ecuador,0.4
Amazon,United Kingdom,0.1
Amazon,Panama,0.1
Amazon,Pakistan,0.0
Amazon,Canada,0.0
Amazon,Egypt,0.0
Apple,China,41.0
Apple,Indonesia,16.6
Apple,France,11.7
Apple,Philippines,10.4
Apple,Colombia,5.4
Apple,Japan,3.8
Apple,Brazil,2.4
Apple,Mexico,2.0
Apple,Ecuador,1.9
Apple,Greece,1.6
Apple,Egypt,0.9
Apple,Pakistan,0.6
Apple,Somalia,0.4
Apple,Bangladesh,0.3
Apple,Germany,0.3
Apple,South Korea,0.3
Apple,Albania,0.3
Apple,Mali,0.1
Apple,Canada,0.0
Apple,Togo,0.0
Apple,Chile,0.0
Apple,United Kingdom,0.0
Argos,China,41.1
Argos,Philippines,13.0
Argos,Indonesia,12.4
Argos,Brazil,9.6
Argos,Japan,4.7
Argos,Egypt,4.0
Argos,Colombia,3.5
Argos,France,3.3
Argos,Greece,2.3
Argos,Mexico,1.6
Argos,United Kingdom,1.0
Argos,Germany,0.9
Argos,Mali,0.8
Argos,Pakistan,0.5
Argos,Panama,0.3
Argos,Bahamas,0.3
Argos,Canada,0.3
Argos,Chile,0.2
Argos,Bangladesh,0.2
Argos,Albania,0.1
Argos,Somalia,0.0
Argos,South Korea,0.0
Argos,Jamaica,0.0
Argos,Ecuador,0.0
BestBuy,China,37.1
BestBuy,Philippines,21.3
